id,cost,power,rules
cassandra-nova,3,0,On Reveal: Steal 1 Power from each card in your opponent's deck.
cerebro,3,0,Ongoing: Your highest-Power cards have +3 Power.
chameleon,0,0,!none
chimichanga,0,2,On Reveal: Merge this with one of your cards here.
cloak,2,4,"On Reveal: Next turn, both players can move cards to this location."
clobberin-time,6,0,Costs 1 less for each different Cost among your cards in play. On Reveal: Give your Champion +8 Power.
cobra,2,3,Activate: Destroy an enemy created card here.
colleen-wing,2,4,On Reveal: Discard the card that costs the least from your hand.
colonel-america,3,3,Ongoing: Your other cards here have +1 Power for each turn you've discarded a card.
colossus,2,3,"Ongoing: Can't be destroyed, moved, or have its Power reduced."
copycat,3,5,"When you draw this, copy the text from the bottom card of your opponent's deck."
corvus-glaive,3,5,On Reveal: Discard 2 cards from your hand to get +1 Max Energy.
cosmic-ghost-rider,5,7,On Reveal: Remove the text from front-row enemy cards here.
cosmo,3,3,Ongoing: On Reveal abilities won't happen here.
council-of-reeds,2,0,"On Reveal: Give an Ongoing card in your hand -1 Cost and +1 Power. After you play it, repeat this."
crossbones,4,10,You can only play this at locations where you are winning.
crystal,3,4,On Reveal: Each player draws a card.
cull-obsidian,4,10,You can only play this where you have a 1-Cost card.
cyclopsxmen,0,0,!none
dagger,2,2,"When this moves to a location, +2 Power for each enemy card there."
daken,3,4,On Reveal: Add the Muramasa Shard to your hand.
danger,4,6,Activate: Destroy an enemy card here with less Power.
daredevil,2,3,"On turn 5, you get to see your opponent's plays before you make your own."
darkhawk,5,3,Ongoing: +2 Power for each card in your opponent's deck.
dazzler,2,2,Ongoing: +2 Power for each location that's full on your side.
deadpool,1,1,"When this is destroyed, return it to your hand with double the Power."
deafeningchord,0,0,!none
death,8,12,Costs 1 less for each card destroyed this game.
deathlok,3,5,On Reveal: Destroy your other cards here.
debrii,3,3,"On Reveal: Add a Rock to each other location, for both players."
destroyer,6,16,On Reveal: Destroy your cards at other locations.
devil-dinosaur,5,4,Ongoing: +2 Power for each card in your hand.
diamondback,3,3,Ongoing: Enemy cards here afflicted with negative Power have an additional -2 Power.
djinn,0,1,"On Reveal: Next turn, you get +2 Energy."
doctor-doom,6,5,On Reveal: Add a 5-Power DoomBot to each other location.
doctor-doom-2099,4,4,End of Turn: Add a DoomBot 2099 to a random location if you played (exactly) 1 card.
doctor-octopus,4,8,On Reveal: Pull the lowest-Power card from your opponent's hand to their side of this location.
doctor-strange,2,3,On Reveal: Move your highest-Power card(s) to this location.
doctorstrangeavengers,0,0,!none
domino,2,4,"You always draw this card on turn 2, and not before."
doombot-2099,4,0,Ongoing: Your other DoomBots and Doom have +1 Power.
dormammu,7,10,Game Start: Begin a Summoning Ritual. (Add step 1 to hand.)
dracula,4,1,"At the end of the game, discard a card from your hand to gain its Power."
drax,4,5,"On Reveal: If your opponent played a card here this turn, +4 Power."
draxguardiansofthegalaxy,0,0,!none
dum-dum-dugan,2,3,Ongoing: Your front-row cards here have +1 Power. (can't add to itself)
ebony-maw,1,7,You can't play this after turn 3. Ongoing: You can't play cards here.
echo,1,2,"After your opponent plays an Ongoing card here, remove its abilities."
effect01overloadedreactor,0,0,!none
effect02overloadedreactor,0,0,!none
effect03overloadedreactor,0,0,!none
effect04overloadedreactor,0,0,!none
effect05overloadedreactor,0,0,!none
effect06overloadedreactor,0,0,!none
effect07overloadedreactor,0,0,!none
effect08overloadedreactor,0,0,!none
effect09overloadedreactor,0,0,!none
effect10overloadedreactor,0,0,!none
electro,3,4,On Reveal: +1 Max Energy. Ongoing: You can only play 1 card a turn.
elektra,1,2,On Reveal: Destroy an enemy 1-Cost card here.
elixir,2,3,On Reveal: One of your cards destroyed last turn gets revived here.
elsa-bloodstone,3,4,Each card you play to fill your side of a location gains +2 Power.
emperor-hulkling,6,12,Game Start: Copy the text of a random 6-Cost card.
enchantress,4,6,On Reveal: Remove the abilities from all Ongoing cards here.
esme-cuckoo,3,4,On Reveal: Copy a card from your deck into your hand. Set its Cost to 3 and Power to 4.
eson,6,10,End of Turn: Put a created card from your hand here.
evolved-abomination,5,9,Costs 1 less for each enemy card in play that's afflicted with negative Power.
evolved-cyclops,3,4,"End of Turn: If you have unspent Energy, afflict 2 enemy cards here with -1 Power."
evolved-hulk,6,12,"End of Turn: If you have unspent Energy, +2 Power. (if in hand or in play)"
evolved-misty-knight,1,2,"End of Turn: If you have unspent Energy, give one of your other cards +1 Power."
evolved-shocker,2,3,On Reveal: Give the leftmost card in your hand -1 Cost.
evolved-the-thing,4,7,On Reveal: Afflict 3 enemy cards here with -1 Power.
evolved-wasp,0,1,On Reveal: Afflict an enemy card here with -1 Power.
ezekielsims,0,0,!none
falcon,2,3,On Reveal: Return your 1-Cost cards to your hand.
fan-fei,4,7,Activate: Move your other cards here to the right.
fantasticar,4,5,Activate: Give your End of Turn cards +2 Power.
fenris-wolf,3,4,Activate: Resurrect your opponent's highest-Power discarded or destroyed card on your side of this location.
firehair,2,3,"When one of your cards is destroyed, this uses that card's On Reveal."
firelord,4,6,On Reveal: Revive one of your discarded or destroyed 3-Cost cards here.
firestar,6,4,On Reveal: Each card you played last turn gains +3 Power.
flame-on,1,0,On Reveal: Add your Champion's Power to the top card of your deck.
flames-of-the-faltine,1,0,On Reveal: Afflict an enemy card here with -3 Power.
flatman,2,2,Ongoing: Adjacent locations have +1 Power.
flightharness,0,0,!none
flyrokenesis,2,0,"On Reveal: next turn, you get +1 energy for each of your unrevealed cards."
forge,2,2,On Reveal: Give the next card you play +2 Power.
frigga,3,4,On Reveal: Add a copy of the last card you played to your hand. (if able)
galacta,4,6,"Each turn, the first card you play at another location reveals with +2 Power."
galactus,6,6,"On Reveal: If you're winning this location and this is your only card here, destroy all other locations."
galactus-first-steps,6,12,My Herald is the next character I see you play. End of Turn: +2 Power if you're winning my Herald's location. (if in hand or in play)
gambit,3,3,On Reveal: Discard a card from your hand to destroy a random enemy card.
gamora,5,8,"On Reveal: If your opponent played a card here this turn, +4 Power."
gamoraguardiansofthegalaxy,0,0,!none
ghost,3,4,On Reveal: Remove the abilities from all End of Turn cards here.
ghost-rider,4,5,On Reveal: Bring back one of your discarded cards to this location.
ghost-spider,1,3,On Reveal: The last card you played moves here.
ghostspiderwebslingers,0,0,!none
ghostthunderbolts,0,0,!none
giganto,6,16,You can only play this at the left location.
gilgamesh,5,9,On Reveal: +1 Power for each of your other cards in play with increased Power.
gladiator,3,8,"On Reveal: Add a card from your opponent's deck to their side of this location. If it has less Power, destroy it."
goblin-queen,2,3,On Reveal: Other cards can't be revealed this turn.
goliath,2,1,Ongoing: +1 Power for each other Ongoing card you have in play.
goose,2,2,"Ongoing: Nobody can play cards that cost 4, 5, or 6 here."
gorgon,2,3,Ongoing: Your opponent's created cards cost 1 more. (maximum 6)
gorr-the-god-butcher,6,-1,Ongoing: +2 Power for EACH On Reveal card in play.
grand-master,2,3,On Reveal: Move one of your other On Reveal cards here to the middle location. Its ability happens again.
grapple-arrow,1,3,"On Reveal: After you play your next card, move it to this location."
green-goblin,3,-4,On Reveal: Switch sides.
groot,3,3,"On Reveal: If your opponent played a card here this turn, +4 Power."
grootguardiansofthegalaxy,0,0,!none
gwenpool,4,5,On Reveal: Pick a random character in your hand 3 times. Give +2 Power each time.
h-e-r-b-i-e,2,3,"Each turn this is in play, swap to a new Activate ability until one is used."
havok,2,1,End of Turn: You lose 1 Max Energy and this gains +3 Power.
hawkeye,1,1,"On Reveal: If you play a card at this location next turn, +3 Power."
hawkeye-kate-bishop,2,3,On Reveal: Add 2 Arrows to your hand.
hawkeyeavengers,0,0,!none
hazmat,3,3,On Reveal: Afflict all other cards with -1 Power.
headpool,1,1,"When this is destroyed, return it to your hand, then give all cards in your hand +1 Power."
heimdall,6,10,On Reveal: Move your other cards one location to the left.
hela,6,6,"On Reveal: For each different Cost among them, resurrect a card you discarded to a random location."
helicarrier,6,10,"When you discard this, fill your hand with random cards."
hellcow,4,6,Activate: Discard a card from your hand.
hellion,5,8,"On Reveal: Next turn, you can move cards to this location."
helpful-assistance,4,0,On Reveal: Execute all 4 of H.E.R.B.I.E.'s abilities here.
hercules,3,5,"The first time another one of your cards moves here each turn, move it to another location."
high-evolutionary,4,7,Game Start: Unlock the potential of your cards with no abilities.
hit-monkey,3,3,On Reveal: Gain +2 Power for each other card you played this turn.
hobgoblin,5,-8,On Reveal: Switch sides.
hope-summers,3,4,"After you play a card here, you get +1 Energy next turn."
howard-the-duck,1,2,Ongoing: Tap this to see the top card of your deck.
hulkavengers,0,0,!none
hulkbuster,2,3,On Reveal: Merge this with one of your cards here.
human-torch,3,3,"When this moves, double its Power."
human-torch-first-steps,3,2,"End of Turn: +1 Power. Once per game, if your side here is full, double this card's Power instead."
hydra-bob,1,4,End of Turn: This moves if a player Snapped.
hydra-stomper,3,2,Ongoing: +1 Power for each time one of your cards moved this game.
hydroman,0,0,!none
ice-cube,1,0,"At the start of each turn, get +1 Energy. Then destroy this if your side is full here."
iceman,1,2,On Reveal: Give a card in your opponent's hand +1 Cost. (maximum 6)
illusion,2,0,This is a fake Mysterio!
images-of-ikonn,4,0,On Reveal: Transform your other cards here into copies of the highest-Power one.
infinity-ultron,5,6,On Reveal: Add 2 of Ultron's Stones to your hand.
invisible-woman,2,4,Ongoing: Cards you play here are not revealed until the game ends.
invisible-woman-first-steps,3,5,"Activate: This turn, your End of Turn abilities happen twice."
iron-fist,1,2,"On Reveal: After you play your next card, move it one location to the left."
iron-lad,4,6,On Reveal: Copy the text of your deck's top card.
iron-man,5,0,Ongoing: Your total Power is doubled here.
iron-patriot,2,3,"On Reveal: Add a random 4, 5, or 6-Cost card to your hand. If you're winning here after next turn, give it -3 Cost."
ironheart,3,0,On Reveal: Give 2 of your other cards +3 Power.
j-jonah-jameson,1,1,Ongoing: Your emotes are ruder.
jane-foster-mighty-thor,5,9,On Reveal: Draw all cards that cost 0 from your deck.
jean-grey,3,4,Ongoing: Players must play their first card here each turn. (if possible)
jeangreyxmen,0,0,!none
jeff-the-baby-land-shark,2,3,You can move this once. Nothing can stop you from moving or playing this to any location.
jennifer-kale,2,3,"Activate: Next turn, you get +1 Energy."
jessica-jones,4,5,"On Reveal: If you don't play a card at this location next turn, +5 Power."
jim-hammond-human-torch,1,2,"At the start of each turn, +1 Power for each bonus Energy you have."
joaquin-torres-falcon-ii,2,2,Ongoing: The On Reveal abilities of your 1-Cost cards here happen twice.
jocasta,3,3,Activate: Immediately Activate your other cards here. (without using up their Activate abilities)
jubilee,4,1,On Reveal: Add the top card of your deck to this location.
jubileexmen,0,0,!none
juggernaut,4,5,On Reveal: Move away all enemy cards played here this turn. (including unrevealed cards)
ka-zar,4,5,Ongoing: Your 1-Cost cards have +1 Power.
kahhori,4,6,On Reveal: Each card in your hand gives one of your other cards in play +1 Power.
kang,5,0,"On Reveal: Look at what your opponent did, then restart the turn. (without this)"
khonshu,6,5,"When discarded, returns in its next phase. On Reveal: Resurrect a card you discarded to another location with its Power set to 5."
khonshu-full,6,12,On Reveal: Resurrect a card you discarded to another location with its Power set to 12.
khonshu-waxing,6,8,"When discarded, returns in its final phase. On Reveal: Resurrect a card you discarded to another location with its Power set to 8."
kid-omega,2,1,Activate: Destroy the next card you play this turn to gain its Power.
killmonger,3,3,On Reveal: Destroy ALL 1-Cost cards.
king-eitri,1,2,Activate: Draw a created card from your deck.
kingpin,1,2,"When an enemy card moves here, afflict it with -2 Power."
kitty-pryde,1,1,"When this returns to your hand, +1 Power. Returns at the start of each turn."
klaw,5,4,Ongoing: The location to the right has +7 Power.
knull,6,0,Ongoing: Has the combined Power of all cards destroyed this game.
korg,1,2,On Reveal: Shuffle a Rock into your opponent's deck.
kraven,2,3,"When a card moves here, this gains +2 Power."
lady-deathstrike,5,7,On Reveal: Destroy each card here with 3 or less Power.
lady-sif,3,5,On Reveal: Discard the card that costs the most from your hand.
ladydeathstrikebrotherhoodofmutants,0,0,!none
lasher,2,2,Activate: Afflict an enemy card here with negative Power equal to this card's Power.
laufey,4,5,On Reveal: Steal 1 Power from each other card here.
leader,6,4,"On Reveal: Copy the enemy card(s) with the highest Power played this turn, but on your side."
leech,4,4,On Reveal: Remove the text from 6-Cost cards in your opponent's hand.
legion,5,7,On Reveal: Replace each other location with this one.
lizard,2,6,Ongoing: -4 Power if your opponent has 4 cards here.
lockjaw,2,2,"Activate: After you play your next card, swap it with one from your deck."
loki,1,2,On Reveal: Replace your deck with your opponent's starting deck. Give those cards -1 Cost.
luke-cage,3,2,Ongoing: Your cards can't have their Power reduced.
luna-snow,3,6,On Reveal: Add an Ice Cube to each side of this location.
m-o-d-o-k,5,7,On Reveal: Discard your hand.
madame-web,2,1,Ongoing: You can move one of your other cards away from here each turn.
magik,3,2,On Reveal: Replace this location with 'Limbo'. Doesn't work after turn 5.
magneto,6,12,On Reveal: Move all enemy 3 and 4-Cost cards to this location.
magnetobrotherhoodofmutants,0,0,!none
makkari,3,3,End of Turn: Runs from your hand to a random location. (if possible)
malekith,4,6,"On Reveal: Add a 1, 2, or 3-Cost card from your deck here, but don't reveal it until the game ends."
man-thing,4,7,"Ongoing: 1, 2, and 3-Cost cards here have -2 Power."
manspider,0,0,!none
mantis,1,2,"On Reveal: If your opponent played any cards here this turn, copy one of them into your hand."
mantisguardiansofthegalaxy,0,0,!none
maria-hill,1,2,On Reveal: Add a random 2-Cost card to your hand.
marvel-boy,3,2,End of Turn: Give 3 of your 1-Cost cards +1 Power.
master-mold,2,2,On Reveal: Add 2 Sentinel to your opponent's hand.
master-plan,2,0,On Reveal: Your 6-Cost cards cost 3 next turn.
maximum-carnage,1,0,On Reveal: Banish this to move your Champion here. Repeat its On Reveal ability.
maximus,2,6,On Reveal: Your opponent draws 2 cards.
medusa,2,2,"On Reveal: If this is at the middle location, +3 Power."
mephisto,6,0,"If you win this game, double your winnings."
mercury,2,2,You can move this once. Ongoing: Enemy cards here can't move.
merlin,2,3,"At the start of each turn, add an Incantation to your hand."
miek,1,1,"When you discard a card, this gains +1 Power and can move next turn."
miles-morales,4,6,"If a card moved last turn, this costs 1."
mind-stone,1,1,On Reveal: Draw 2 Stones from your deck.
mirage,2,3,On Reveal: Copy the character that costs the least from your opponent's hand into your hand. Give it +2 Power.
misery,4,9,"On Reveal: Repeat the On Reveal abilities of your other cards here, then destroy them."
mister-fantastic,3,1,Ongoing: Adjacent locations have +3 Power.
mister-fantastic-first-steps,3,4,End of Turn: Give a card in your hand -1 Cost or +2 Power.
mister-negative,4,-1,On Reveal: Swap the Power and Cost of all cards in your deck.
mister-sinister,2,2,On Reveal: Add a Sinister Clone here with the same Power.
mj-lnir,0,0,On Reveal: Give Thor +6 Power.
mjolniravengers,0,0,!none
mobius-m-mobius,3,4,Ongoing: Your Costs can't be increased. Your opponent's Costs can't be reduced.
mockingbird,6,9,Costs 1 less for each of your created cards in play.
moira-x,1,2,"When this is destroyed, get a copy of your opening hand."
mojo,2,2,"Ongoing: If both sides here are full, +6 Power."
mole-man,3,4,On Reveal: Banish the top card of your deck. Add 2 Rocks to your hand. Set their Power to the banished card's Cost.
moon-girl,4,5,On Reveal: Copy your hand.
moon-knight,3,3,On Reveal: Discard an even-costed card from each player's hand.
moonstone,4,6,"Ongoing: Has the Ongoing effects of your 1, 2, and 3-Cost cards here."
morbius,2,0,Ongoing: +2 Power for each time you discarded a card this game.
morgan-le-fay,4,7,On Reveal: Return all your discarded and destroyed cards to hand with +3 Power.
morph,3,0,On Reveal: Become a copy of a card in your opponent's hand.
ms-marvel,4,5,Ongoing: Your adjacent locations with 2+ cards and no repeated Costs have +5 Power.
multiple-man,2,3,"When this moves, add a copy to the old location."
mysterio,2,4,"As you play this, play Illusions to other locations. Disguise this as an Illusion until the game ends."
mystique,3,0,"On Reveal: If the last card you played has an Ongoing, copy its text. (if able)"
mystiquebrotherhoodofmutants,0,0,!none
nakia,3,3,On Reveal: Give all cards in your hand +1 Power.
namor,4,6,Ongoing: +5 Power if this is your only card here.
namora,5,7,On Reveal: Give +5 Power to each of your cards alone at another location.
nicholas-scratch,1,2,"After you play a skill, +1 Power."
nick-fury,4,6,On Reveal: Add 3 random 6-Cost cards to your hand.
nico-minoru,1,2,"On Reveal: After you play your next card, cast a spell. (The spell changes each turn.)"
nico-minoru-spell-01,1,2,"On Reveal: After you play your next card, it becomes a Demon."
nico-minoru-spell-02,1,2,"On Reveal: After you play your next card, destroy it to draw two cards."
nico-minoru-spell-03,1,2,"On Reveal: After you play your next card, move it one location to the right."
nico-minoru-spell-04,1,2,"On Reveal: After you play your next card, give it +2 Power."
nico-minoru-spell-05,1,2,"On Reveal: After you play your next card, replace that card's location."
nico-minoru-spell-06,1,2,"On Reveal: After you play your next card, add a copy of it to your hand."
nico-minoru-spell-07,1,2,"On Reveal: After you play your next card, double this card's Power."
night-nurse,2,2,On Reveal: Add all cards you discarded or destroyed last turn to your hand.
nightcrawler,1,2,You can move this once.
nightcrawlerxmen,0,0,!none
nightmare,3,1,On Reveal: Replace the text of each card in your hand with text from a random card of the same Cost.
nimrod,5,6,"When this is destroyed, add a copy to each other location."
nocturne,3,4,"You can move this once. When this moves, replace its location with a random new one."
nova,1,1,"When this is destroyed, give your cards +1 Power."
nova-frankie-raye,2,3,"After the next time you play a 6-Cost card, double this card's Power."
odin,6,8,On Reveal: Repeat the On Reveal abilities of your other cards here.
okoye,2,3,On Reveal: Give every card in your deck +1 Power.
omega-red,4,6,"Ongoing: If you're winning here, +3 Power to other locations."
omega-sentinel,4,3,Activate: Afflict the highest-Power enemy card with -7 Power.
omniversal-presence,1,0,On Reveal: Replace this location with a new one and give Merlin +2 Power.
once-and-future,1,0,On Reveal: Shuffle your lowest-Power card here into your deck to get +2 Energy next turn.
onslaught,6,8,Ongoing: Double your other Ongoing effects here.
orka,6,11,Ongoing: +5 Power if this is your only card here.
overloadedreactor,0,0,!none
patriot,3,2,Ongoing: Your cards with no abilities have +2 Power.
peni-parker,2,3,"On Reveal: Add SP//dr to your hand. When this merges, you get +1 Energy next turn."
phastos,3,4,On Reveal: Give each card in your deck -1 Cost or +2 Power.
phoenix-force,4,5,On Reveal: Revive one of your destroyed cards and merge with it. That card can move each turn.
pixie,2,2,On Reveal: Shuffle the base Costs of all cards in your deck that started there.
polaris,3,5,On Reveal: Move an enemy 1 or 2-Cost card to this location.
polymorph,1,0,On Reveal: Transform your lowest-Power character here into one that costs 1 more.
power-stone,1,3,"Ongoing: If you've played all 6 stones, Thanos has +10 Power. (wherever he is)"
prodigy,3,4,"On Reveal: If this is in the back row, copy the text of the card in front of it."
professor-x,5,2,Ongoing: Moving is the only way to add or remove a character from here.
professorxxmen,0,0,!none
prowler,0,0,!none
psylocke,2,2,"On Reveal: Next turn, you get +1 Energy."
punisher,3,3,Ongoing: +1 Power for each enemy card here.
pymparticle-arrow,1,1,"Ongoing: If your side of this location is full, +3 Power."
quake,2,3,On Reveal: Swap the positions of the other two locations.
quicksilver,1,2,Starts in your opening hand.
quinjet,1,2,Ongoing: Your created cards cost 1 less. (minimum 1)
random,4,0,On Reveal: Set this card's Power equal to the Power of a random card in your deck.
ravonna-renslayer,2,2,Ongoing: Your cards with 1 or less Power cost 1 less. (minimum 1)
reality-stone,1,2,On Reveal: Replace this location with a new one.
red-guardian,3,2,On Reveal: Afflict the lowest-Power enemy card here with -2 Power and remove its text.
red-hulk,6,10,"End of Turn: If your opponent has unspent Energy, +3 Power. (if in hand or in play)"
red-shift,2,3,On Reveal: Discard the leftmost card in your hand to add a random card with the same Cost to your hand.
red-skull,5,14,Ongoing: Enemy cards here have +2 Power.
redwing,3,5,"The first time this moves, add a card from your hand to the old location."
remotemines,0,0,!none
rescue,4,4,"On Reveal: If you play a card at this location next turn, +5 Power."
rhino,2,5,On Reveal: Add a Rock to your side of this location.
rocket-and-groot,3,2,"You can move this once. After your opponent plays a card here, steal 1 Power from it."
rocket-raccoon,1,1,"On Reveal: If your opponent played a card here this turn, +4 Power."
rocketraccoonguardiansofthegalaxy,0,0,!none
rockslide,4,5,On Reveal: Shuffle 2 Rocks into your opponent's deck.
rogue,3,2,On Reveal: Steal the text from an enemy Ongoing card here.
ronan-the-accuser,5,5,Ongoing: +2 Power for each card in your opponent's hand.
sabretooth,3,5,"When this is destroyed, return it to your hand. It costs 0."
sage,3,0,On Reveal: +2 Power for each different Power among all other cards here.
sam-wilson-captain-america,2,2,Game Start: Add Cap's Shield to a random location. Ongoing: You can move Cap's Shield.
sandman,5,8,"On Reveal: Next turn, cards cost 1 more. (maximum 6)"
sasquatch,6,10,Costs 1 less for each card you played last turn.
sauron,1,3,On Reveal: Remove the abilities from all Ongoing cards in your deck.
scarlet-spider,4,5,Activate: Add an exact clone of this to another location.
scarlet-witch,2,3,On Reveal: Replace this location with a new one.
scarletspiderwebslingers,0,0,!none
scarletwitchbrotherhoodofmutants,0,0,!none
scorn,1,2,"When you discard this, return it to your hand and give +2 Power to itself and one of your cards in play."
scorpion,2,3,On Reveal: Afflict cards in your opponent's hand with -1 Power.
selene,1,2,On Reveal: Afflict the lowest-Power card in each player's hand with -3 Power.
selenebrotherhoodofmutants,0,0,!none
sentinel,2,3,On Reveal: Add another Sentinel to your hand.
sentry,4,9,You can't play this at the right location. On Reveal: Add a -9 Power Void to the right location.
sentrythunderbolts,0,0,!none
sera,5,5,Ongoing: Cards in your hand cost 1 less. (minimum 1)
sersi,5,7,On Reveal: Transform your other characters here into random ones that cost 1 more. (if possible)
shadow-king,2,2,On Reveal: Reset all cards here to their original Power.
shang-chi,4,3,On Reveal: Destroy all enemy cards here that have 10 or more Power.
shanna,3,4,On Reveal: Add a random 1-Cost card to each location.
she-hulk,6,10,Costs 1 less for each unspent Energy last turn.
shuri,4,3,"On Reveal: If you play your next card at this location, double its Power."
silk,2,5,"After ANY card is played here, move this to another location."
silver-sable,1,0,On Reveal: Steal 2 Power from the top card of your opponent's deck.
silver-samurai,4,5,On Reveal: Each player discards the lowest-Power card from their hand.
silver-surfer,3,2,On Reveal: Give your other 3-Cost cards +2 Power.
silver-surfer-first-steps,3,5,"End of Turn: If you're winning this location with an On Reveal card, copy its text."
skaar,7,12,Costs 2 less for each of your cards that has 10 or more Power.
snowguard,1,2,On Reveal: Add the Hawk and Bear auroras to your hand.
snowguard-bear,3,4,On Reveal: Trigger the effect of this location.
snowguard-hawk,3,3,On Reveal: Ignore all location abilities until the end of next turn. (They resume if the game ends.)
snowguard-wolf,4,8,Ongoing: -2 Power for each other card you have here.
soul-stone,1,1,On Reveal: Draw a card. Ongoing: Thanos can't be discarded or destroyed.
sp-dr,3,4,On Reveal: Merge with one of your cards here. You can move that card next turn.
space-stone,1,3,On Reveal: Draw Thanos. Ongoing: Nothing can stop you from playing Thanos.
sparky,2,1,Activate: Give your card that last moved +3 Power and move it back to its previous location.
spectrum,6,7,On Reveal: Give your Ongoing cards +2 Power.
speed,3,3,Ongoing: +1 Power for each turn in which you spent all your Energy.
spider-ham,1,2,"Activate: Replace the text of a random character in your opponent's hand with \""oink!\"""
spider-man,2,4,On Reveal: Move to another location and pull an enemy card from here to there.
spider-man-2099,5,9,"The first time this moves to any location, destroy an enemy card there."
spider-woman,5,8,On Reveal: Afflict all enemy cards here with -1 Power.
spiderman2099webslingers,0,0,!none
spidermannoir,0,0,!none
spiderpunk,0,0,!none
squirrel-girl,1,2,On Reveal: Add a 1-Power Squirrel to each other location.
star-lord,2,2,"On Reveal: If your opponent played a card here this turn, +4 Power."
starbrand,3,10,Ongoing: Your opponent has +3 Power at each other location.
stardust,4,7,Ongoing: Cards can't be added to locations except by playing or moving them.
starlordguardiansofthegalaxy,0,0,!none
